id,state,year,quarter,transaction_type,transaction_count,transaction_amount
241,andhra-pradesh,2023,1,"Merchant payments",540680395,311606731877
242,andhra-pradesh,2023,1,"Peer-to-peer payments",514931308,1857818168755
243,andhra-pradesh,2023,1,"Recharge & bill payments",89143939,78817989795
244,andhra-pradesh,2023,1,"Financial Services",288150,331233097
245,andhra-pradesh,2023,1,Others,488672,477193006
246,andhra-pradesh,2023,2,"Merchant payments",634303064,349602824539
247,andhra-pradesh,2023,2,"Peer-to-peer payments",573455382,2067288068882
248,andhra-pradesh,2023,2,"Recharge & bill payments",97202487,88352183038
249,andhra-pradesh,2023,2,"Financial Services",316533,386071375
250,andhra-pradesh,2023,2,Others,379498,409939082
251,andhra-pradesh,2023,3,"Merchant payments",750265405,395042164275
252,andhra-pradesh,2023,3,"Peer-to-peer payments",623202203,2163464730936
253,andhra-pradesh,2023,3,"Recharge & bill payments",101000645,94077774967
254,andhra-pradesh,2023,3,"Financial Services",361584,466791218
255,andhra-pradesh,2023,3,Others,334566,362636702
256,andhra-pradesh,2023,4,"Merchant payments",822516631,427677236042
257,andhra-pradesh,2023,4,"Peer-to-peer payments",673002314,2270766948881
258,andhra-pradesh,2023,4,"Recharge & bill payments",100733697,103186953776
259,andhra-pradesh,2023,4,"Financial Services",431705,535202901
260,andhra-pradesh,2023,4,Others,303079,348636223
261,andhra-pradesh,2024,1,"Merchant payments",926373997,468462542792
262,andhra-pradesh,2024,1,"Peer-to-peer payments",721764113,2436665736212
263,andhra-pradesh,2024,1,"Recharge & bill payments",106564415,106646957337
264,andhra-pradesh,2024,1,"Financial Services",427720,634184211
265,andhra-pradesh,2024,1,Others,298240,316249197
266,andhra-pradesh,2024,2,"Merchant payments",1068247800,526363160284
267,andhra-pradesh,2024,2,"Peer-to-peer payments",748553253,2545133436133
268,andhra-pradesh,2024,2,"Recharge & bill payments",112475183,109301693605
269,andhra-pradesh,2024,2,"Financial Services",558924,799915709
270,andhra-pradesh,2024,2,Others,287140,324214357
271,andhra-pradesh,2024,3,"Merchant payments",1186825685,569822447748
272,andhra-pradesh,2024,3,"Peer-to-peer payments",802972632,2555369227206
273,andhra-pradesh,2024,3,"Recharge & bill payments",100644574,100291968047
274,andhra-pradesh,2024,3,"Financial Services",633983,857014703
275,andhra-pradesh,2024,3,Others,294488,304949785
276,andhra-pradesh,2024,4,"Merchant payments",1319061337,622805238380
277,andhra-pradesh,2024,4,"Peer-to-peer payments",872917507,2723665407515
278,andhra-pradesh,2024,4,"Recharge & bill payments",101888917,104194996949
279,andhra-pradesh,2024,4,"Financial Services",2255721,977916755
280,andhra-pradesh,2024,4,Others,322062,372009367
281,arunachal-pradesh,2018,1,"Recharge & bill payments",28729,5184132.514934338
282,arunachal-pradesh,2018,1,"Peer-to-peer payments",13320,82889682.72418305
283,arunachal-pradesh,2018,1,"Merchant payments",1042,2420374.1905855755
284,arunachal-pradesh,2018,1,"Financial Services",416,58893.76201533088
285,arunachal-pradesh,2018,1,Others,1990,1834252.8176908877
286,arunachal-pradesh,2018,2,"Recharge & bill payments",50700,10468878.537107183
287,arunachal-pradesh,2018,2,"Peer-to-peer payments",26477,181576281.19464755
288,arunachal-pradesh,2018,2,"Merchant payments",2378,4718953.439561011
289,arunachal-pradesh,2018,2,"Financial Services",559,363761.80159549194
290,arunachal-pradesh,2018,2,Others,2043,1842317.3691352482
291,arunachal-pradesh,2018,3,"Recharge & bill payments",74122,15997565.906016497
292,arunachal-pradesh,2018,3,"Peer-to-peer payments",49740,308106303.45342577
293,arunachal-pradesh,2018,3,"Merchant payments",4738,5505694.567913429
294,arunachal-pradesh,2018,3,"Financial Services",507,72133.845254878
295,arunachal-pradesh,2018,3,Others,2039,2044708.9687807972
296,arunachal-pradesh,2018,4,"Recharge & bill payments",97751,20662691.882313278
297,arunachal-pradesh,2018,4,"Peer-to-peer payments",68169,468831493.2328036
298,arunachal-pradesh,2018,4,"Merchant payments",7726,11998974.1040326
299,arunachal-pradesh,2018,4,"Financial Services",561,100597.90379906222
300,arunachal-pradesh,2018,4,Others,2222,2446271.9688117937
301,arunachal-pradesh,2019,1,"Recharge & bill payments",121303,26796894.998233315
302,arunachal-pradesh,2019,1,"Peer-to-peer payments",93494,568554821.4456317
303,arunachal-pradesh,2019,1,"Merchant payments",9214,11727218.401334248
304,arunachal-pradesh,2019,1,"Financial Services",256,140622.87093631705
305,arunachal-pradesh,2019,1,Others,2239,2730548.5978140826
306,arunachal-pradesh,2019,2,"Recharge & bill payments",131988,30420803.41271234
307,arunachal-pradesh,2019,2,"Peer-to-peer payments",106527,704237943.4054435
308,arunachal-pradesh,2019,2,"Merchant payments",16828,13955724.130712911
309,arunachal-pradesh,2019,2,"Financial Services",267,160660.8821362781
310,arunachal-pradesh,2019,2,Others,3046,3880742.524023137
311,arunachal-pradesh,2019,3,"Recharge & bill payments",216228,50946104.94289842
312,arunachal-pradesh,2019,3,"Peer-to-peer payments",133484,841037395.2474606
313,arunachal-pradesh,2019,3,"Merchant payments",16900,17178248.07427002
314,arunachal-pradesh,2019,3,"Financial Services",864,64089.11350267195
315,arunachal-pradesh,2019,3,Others,2758,3419197.4177385764
316,arunachal-pradesh,2019,4,"Recharge & bill payments",259183,63516906.09060433
317,arunachal-pradesh,2019,4,"Peer-to-peer payments",177833,1100137447.9340453
318,arunachal-pradesh,2019,4,"Merchant payments",19769,23192271.691576812
319,arunachal-pradesh,2019,4,"Financial Services",314,305379.7987782319
320,arunachal-pradesh,2019,4,Others,2376,3421174.01227797
321,arunachal-pradesh,2020,1,"Recharge & bill payments",329834,86011654.77474582
322,arunachal-pradesh,2020,1,"Peer-to-peer payments",203429,1263912288.4066367
323,arunachal-pradesh,2020,1,"Merchant payments",31181,28553052.133918796
324,arunachal-pradesh,2020,1,"Financial Services",470,337812.94816169393
325,arunachal-pradesh,2020,1,Others,2261,2943873.0666838237
326,arunachal-pradesh,2020,2,"Recharge & bill payments",522495,145198528.22961134
327,arunachal-pradesh,2020,2,"Peer-to-peer payments",247861,1630654426.0441835
328,arunachal-pradesh,2020,2,"Merchant payments",35169,46446966.612447515
329,arunachal-pradesh,2020,2,"Financial Services",1310,2655507.6964110374
330,arunachal-pradesh,2020,2,Others,1939,1761404.4023099935
331,arunachal-pradesh,2020,3,"Recharge & bill payments",514907,153463816.21184397
